sample-id,Locality,Elevation ,WaterTemp,WaterPH,DO,MeanMaxTemp,MeanMinTemp,Precipitation,GeneticCluster,WaterTemp_mean,WaterPH_mean,DO_mean,BdLog,BodyCondition,MLH,Fis,BdPresence,BdPrev,PC1,Morphotype,Morphotype_tassel
AlLSe18,C,3177,14.5,7.6,79.1,20,6,21.29999924,Tlazala,14.55714286,7.471428571,76.54285714,2.128417611,8.098675772,0.39877212,0.01619,1,100,43.84395104,Non-metamorphic,0
AlLSe19,C,3177,14.5,7.6,79.1,20,6,21.29999924,Tlazala,14.55714286,7.471428571,76.54285714,2.210766647,10.42391322,0.423672806,-0.1607,1,100,52.61421773,Non-metamorphic,0
AlLSe20,C,3177,14.5,7.6,79.1,20,6,21.29999924,Tlazala,14.55714286,7.471428571,76.54285714,4.093415037,6.572551722,0.391115926,0.05368,1,100,49.51203655,Metamorphic,1
AlLSe21,C,3177,14.5,7.6,79.1,20,6,21.29999924,Tlazala,14.55714286,7.471428571,76.54285714,2.204085375,8.034153289,0.396948357,0.05288,1,100,49.19743113,Non-metamorphic,0
AlTe01,D,3087,11.3,6.5,75,20,6,21.29999924,Tlazala,10.52,6.6185,81.38,3.150903459,12.38563527,0.401047309,-0.01151,1,100,43.23293929,Non-metamorphic,0
AlTe02,D,3087,10.1,6.7,85.1,20,6,21.29999924,Tlazala,10.52,6.6185,81.38,3.553967689,15.06639871,0.472137956,-0.4443,1,100,-0.07866106,Non-metamorphic,0
AlTe03,D,3087,10.1,6.7,85.1,20,6,21.29999924,Tlazala,10.52,6.6185,81.38,4.130919863,11.14516891,0.401679307,-0.004372,1,100,41.85223942,Non-metamorphic,0
AlTe04,D,3087,10.1,6.7,85.1,20,6,21.29999924,Tlazala,10.52,6.6185,81.38,3.053904925,11.04869239,0.398898519,0.008756,1,100,39.14092784,Non-metamorphic,0
AlTe05,D,3087,10.1,6.7,85.1,20,6,21.29999924,Tlazala,10.52,6.6185,81.38,3.11120547,6.68640541,0.39023113,0.08275,1,100,42.2072008,Non-metamorphic,0
AlTe06,D,3087,10.1,6.7,85.1,20,6,21.29999924,Tlazala,10.52,6.6185,81.38,3.876487392,13.59194644,0.399891658,-0.0009194,1,100,40.22825164,Non-metamorphic,0
AlTe07,D,3087,11.3,6.5,75,20,6,21.29999924,Tlazala,10.52,6.6185,81.38,5.054827959,6.200291671,0.387847598,0.06446,1,100,42.87442973,Non-metamorphic,0
AlTe08,D,3087,11.3,6.5,75,20,6,21.29999924,Tlazala,10.52,6.6185,81.38,3.771679604,20.537278,0.405976887,-0.04478,1,100,41.06982569,Non-metamorphic,0
AlTe09,D,3087,11.3,6.5,75,20,6,21.29999924,Tlazala,10.52,6.6185,81.38,5.174104925,9.887523033,0.403521127,-0.01374,1,100,43.20008605,Non-metamorphic,0
AlTe10,D,3087,11.3,6.5,75,20,6,21.29999924,Tlazala,10.52,6.6185,81.38,3.558890881,9.945524739,0.405597689,-0.005207,1,100,40.2779634,Non-metamorphic,0
AlTe11,D,3087,11.3,6.5,75,20,6,21.29999924,Tlazala,10.52,6.6185,81.38,5.66943399,10.35246075,0.385771036,0.09925,1,100,43.14680533,Non-metamorphic,0
AlTe12,D,3087,10.1,6.7,85.1,20,6,21.29999924,Tlazala,10.52,6.6185,81.38,4.163187559,10.85051042,0.400722282,0.02302,1,100,42.60123996,Non-metamorphic,0
AlTe13,D,3087,11.3,6.5,75,20,6,21.29999924,Tlazala,10.52,6.6185,81.38,4.175724743,9.448455068,0.390068617,0.05387,1,100,44.43837215,Non-metamorphic,0
AlTe14,D,3087,10.1,6.47,81.4,20,6,21.29999924,Tlazala,10.52,6.6185,81.38,3.310464204,13.12583109,0.377988443,0.1299,1,100,41.89619404,Non-metamorphic,0
